Consecutivo de la fila;Nombre de la serie;Consecutivo de la  subserie;Nombre de la subserie;Fecha de inicio;Fecha de finalización;Años en archivo de gestión;Años en archivo central;Disposición final;Soporte;Procedimiento;
11;ACTAS;8;Actas comité de bienestar social;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;11
12;ACTAS;9;Actas comité de bienestar universitario;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2  años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;12
13;ACTAS;10;Actas comité de conciliación y defensa judicial;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;13
14;ACTAS;11;Actas comité de convivencia laboral;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;14
15;ACTAS;12;Actas comité de ética de investigación;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;15
16;ACTAS;13;Actas comité de ética en investigación con humanos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;16
17;ACTAS;14;Actas comité de ética y gestor de ética;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;17
18;ACTAS;15;Actas comité de investigación;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;18
19;ACTAS;16;Actas comité de práctica pedagógica y docente;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;19
20;ACTAS;17;Actas comité de rectoría;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;20
21;ACTAS;18;Actas comité de seguridad y salud en el trabajo;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;21
22;ACTAS;19;Actas comité de trabajo de grado;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;22
23;ACTAS;20;Actas comité editorial;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN;23
24;ACTAS;21;Actas comité interinstitucional;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN;24
25;ACTAS;22;Actas comité institucional de auto - evaluación y calidad;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;25
26;ACTAS;23;Actas comité institucional de coordinación de control interno;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;26
27;ACTAS;24;Actas comité institucional de gestión y desempeño;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;27
28;ACTAS;25;Actas comité técnico de sostenibilidad contable;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2  años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;28
29;BANCOS DE PROYECTOS DE INVERSIÓN UNIVERSITARIA - BPIU;1;Bancos de proyectos de inversión universitaria – bpiu;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Son documentos de conservación permanente en el Archivo de Gestión, por tratarse de las solicitudes que anualmente realizan las diferentes dependencias académico -administrativas de los proyectos viables y susceptibles de ser financiados con el presupuesto de inversión universitaria que contribuyan al logro de los objetivos del Desarrollo Institucional.;29
30;CONCILIACIONES BANCARIAS;1;Conciliaciones bancarias;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. (Ley 962 de 2005 Articulo 28). Cumplido el tiempo de retención en el Archivo Central  eliminar porque pierde su vigencia administrativa y la información se encuentra en los libros contables. ;30
31;ACTAS;26;Actas consejo académico;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;31
32;ACTAS;27;Actas consejo de facultad;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;32
33;ACTAS;28;Actas consejo de política fiscal para la unidad (counfis);2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2  años en el Archivo de Gestión y 8 años  en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;33
34;ACTAS;29;Actas consejo directivo;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;34
35;ACTAS;30;Actas de grado general;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;35
36;ACTAS;31;Actas de reunión;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;36
37;ACTAS;32;Actas eliminación de documentos;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la institución y las decisiones que se tomen en tormo al cumplimiento de los señalado en el Acuerdo 004 de 2013 - AGN. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. ;37
38;ACTAS;33;Actas entrega de bienes muebles y devolutivos;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque los tipos documentales hacen parte integral de la serie Historias Laborales de la Oficina de Gestión Humana. ;38
39;ACTAS;34;Actas entrega de cargo;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención eliminar porque el acta original reposa como tipo documental en la serie historias laborales de la Oficina de Gestión Humana.  Ley 951 de 2005. ;39
40;ACTAS;35;Actas sustentación trabajo de grado;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. ;40
41;ACUERDOS;1;Acuerdos académicos;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;41
42;ACUERDOS;2;Acuerdos con agremiaciones y sindicatos;2018-11-29;2050-12-26;2;10;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 10  años en el Archivo Central. Cumplido el tiempo de retención eliminar por ser documentos que pierden sus valores primarios y no adquieren valores secundarios. ;42
43;ACUERDOS;3;Acuerdos consejo de facultad;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;43
44;ACUERDOS;4;Acuerdos de pago;2018-11-29;2050-12-26;2;5;ELIMINACION;PAPEL;Transferir al Archivo Central 2 años después de concluido el acuerdo. Cumplido el tiempo de retención en el Archivo Central, eliminar por perdida de valores primarios;44
45;ASIGNACIONES ACADÉMICAS;1;Asignaciones académicas;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención documental eliminar porque los tipos documentales hacen parte integral de la serie Nómina en la Oficina de Gestión Humana. ;45
46;ACUERDOS;5;Acuerdos directivos;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;46
47;ACTAS;36;Actas de comité práctica ;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;47
48;BOLETINES;1;Boletines;2018-11-29;2050-12-26;2;8;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido el tiempo de retención realizar una selección cualitativa de aquellos boletines que tengan representatividad para la universidad y aporten a la construcción de la historia y la investigación. La información se conserva en medio digital. Resolución 12220 de 2016 del Ministerio de Educación, artículo 8. ;48
49;CERTIFICADOS;1;Certificados de ingresos y retenciones;2018-11-29;2050-12-26;2;1;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión, cumplido el tiempo de retención en el eliminar por perdida de valores primarios. Se conservan en medio digital.;49
50;COMPROBANTES;1;Comprobantes de egreso;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28). Se conservan en medio digital.;50
51;CRÉDITOS INSTITUCIONALES;1;Cedritos institucionales;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se trasladan al Archivo Central los créditos de los estudiantes que ya se han graduado. Se conservan  años 8 años en el Archivo Central, cumplido el tiempo de retención eliminar por perdida de valores primarios. ;51
52;CRÉDITOS ACADÉMICOS EXTRAPLAN;1;Créditos académicos extraplan;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Centra. Cumplido el tiempo de retención en el Archivo de Gestión eliminar por ser documentos que pierden sus valores primarios, son soportes para el Registro Calificado que se debe renovar cada 7 años.;52
53;COMPROBANTES;2;Comprobantes de ingresos;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28). Se conservan en medio digital.;53
54;CONCEPTOS JURÍDICOS;1;Conceptos jurídicos institucionales;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Se conservan 2 años en el Archivo de Gestión Cumplido el tiempo de retención eliminar por ser soportes para la toma de decisiones a nivel institucional y no son vinculantes.  Ley 1437 de 2011 Art. 28 ;54
55;BAJA DE BIENES;1;Baja de bienes;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Esta subserie es de conservación total, porque refleja las actuaciones administrativas de la UCEVA ante los entes de control sobre la gestión jurídica, técnica, administrativo y/o financiera.  Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Su conservación total se regula en la Circular 003 de 2015 AGN;55
56;LIBROS CONTABLES;1;Libros contables;2018-11-29;2050-12-26;2;8;C.TOTAL / M.TECNOLOGICO;PAPEL / ELECTRONICO;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Son documentos que tienen valor administrativo, legal, jurídico, fiscal y contable. Podrán ser eliminados, siempre que por cualquier medio técnico adecuado garantice su reproducción exacta (Ley 962 de 2005 Articulo 28).;56
57;CONSECUTIVOS DE COMUNICACIONES OFICIALES;1;Consecutivos comunicaciones enviadas;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conserva 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido el tiempo de retención en el Archivo Central eliminar por perdida de valores primarios, la información de cada año reposa en el software de Gestión Documental.;57
58;CONSECUTIVOS DE COMUNICACIONES OFICIALES;2;Consecutivos comunicaciones recibidas;2018-11-29;2050-12-26;2;8;ELIMINACION;PAPEL;Se conserva 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Cumplido el tiempo de retención en el Archivo Central eliminar por perdida de valores primarios, la información de cada año reposa en el software de Gestión Documental.;58
59;CONSTANCIAS;1;Constancias resumen analítico de investigación – rai;2018-11-29;2050-12-26;2;3;ELIMINACION;PAPEL;Se conservan 2  años en el Archivo de Gestión y 3 años en el Archivo Central, cumplido el tiempo de retención eliminar teniendo en cuenta que por reglamento académico los estudiantes tienen 5 años para graduarse. ;59
60;CONTRATOS;1;Contratos de arrendamiento;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;60
61;CONTRATOS;2;Contratos de compraventa mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;61
62;CONTRATOS;3;Contratos de consultoría mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;62
63;CONTRATOS;4;Contratos de interventoría;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;63
64;CONTRATOS;5;Contratos de obra pública;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;64
65;CONTRATOS;6;Contratos de prestación de servicios mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;65
66;CONTRATOS;7;Contratos de suministros de mínima cuantía;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;66
67;CONTRATOS;8;Contratos de suscripción de mínima cuantía ;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 años en el Archivo de Gestión y 187 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa del 10% anual para su conservación total.;67
68;CONVOCATORIAS;1;Convocatorias públicas desiertas;2018-11-29;2050-12-26;2;1;ELIMINACION;PAPEL;Conservar 2 años en el Archivo de Gestión y eliminar porque estos documentos no generan ninguna obligación por parte de la institución. ;68
69;CONVENIOS;1;Convenios de movilidad académica;2018-11-29;2050-12-26;2;18;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 18 años en el Archivo Central, La Subserie es de conservación total, ya que las informaciones de los convenios internacionales evidencian las actividades de la UCEVA con entidades externas, Circular 003 de 2015 AGN.;69
70;CONVENIOS;2;Convenios interadministrativos;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 año en el Archivo de Gestión y 18 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa  del 10% anual para su conservación total.;70
71;CONVENIOS;3;Convenios interinstitucionales;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Son documentos que adquieren valores administrativos, legales, fiscales y contables. Dando cumplimiento a la Ley 80 de 1993 las prescripciones por razones de responsabilidad contractual se cumplen a los 20 años.  Se conservan 2 año en el Archivo de Gestión y 18 años en el Archivo Central, cumplidos los 20 años se aplica una selección cualitativa o cuantitativa  del 10% anual para su conservación total.;71
